word,frequency
acceptable,21
accepting,21
access,24
accuracy,36
accurate,35
accurately,24
accused,25
accident,33
achieve,51
achievement,65
achieved,62
academic,56
academy,24
acquire,27
acquired,26
air,257
aircraft,70
aid,134
aids,27
ain't,46
aim,37
aimed,24
available,245
availability,21
average,130
avenue,46
avoid,58
add,88
added,172
addition,142
additional,120
adding,22
address,77
addresses,21
administration,161
administrative,53
admit,37
admitted,44
admission,33
advantage,73
advantages,28
advance,59
advanced,53
advice,52
advised,33
advisory,24
advertising,50
adequate,66
adopted,45
adam,44
adams,42
adjustment,35
adjustments,20
adjusted,33
adult,25
adults,23
appear,117
appeared,135
appears,84
appearance,57
appeal,63
apparent,57
apparently,125
apparatus,29
approach,123
approached,45
approaches,25
approaching,27
approximately,71
appropriate,68
approval,51
approved,40
appreciate,26
appreciation,22
applied,106
application,68
applications,25
apply,56
applying,29
appointed,42
appointment,28
apart,57
apartment,81
april,71
aj,118
audience,115
author,46
authority,93
authorities,39
authorized,37
authors,23
authentic,20
auto,22
automobile,50
automobiles,24
automatic,40
automatically,36
autumn,22
august,53
aug.,25
aunt,22
a.,113
a.m.,40
ah,22
ahead,109
axis,38
aesthetic,26
aadit,100
i,5400
in,21337
into,1791
interest,330
interested,105
interests,83
interesting,82
international,155
internal,62
interior,74
interpretation,54
interpreted,24
interference,45
interview,33
intervals,25
intervention,20
intermediate,21
intellectual,66
intelligence,48
intelligent,26
intensity,56
intense,40
intended,45
intention,36
intentions,22
integration,48
introduced,52
introduction,39
intimate,21
information,269
informed,57
influence,132
individual,239
individuals,73
indicate,80
indicated,108
indicates,40
indication,20
india,58
indian,52
indians,32
indirect,21
industry,171
industrial,143
industries,36
indeed,162
index,81
independent,70
independence,70
increase,195
increased,146
increases,72
increasing,74
increasingly,42
incredible,23
including,171
include,113
included,97
includes,45
inclined,21
income,109
inch,39
inches,86
incident,49
inc.,20
inside,174
insist,27
insisted,43
insight,22
instead,173
institution,41
institutions,98
institute,50
instance,82
instances,30
instant,38
installed,35
instrument,47
instruments,26
instruction,26
instructions,35
insurance,46
insure,24
inspired,25
inspection,21
insects,23
involve,31
involved,147
involves,41
involving,33
investigation,51
investigations,22
investment,43
inventory,23
invention,20
invariably,31
invited,26
invitation,20
initial,68
initiative,32
inner,55
innocent,37
innocence,28
inevitably,38
inevitable,33
inadequate,32
injury,27
injured,20
inherent,26
is,10109
island,167
islands,30
issue,152
issues,66
issued,50
isn't,97
isolated,35
it,8760
its,1858
itself,304
it's,302
item,55
items,72
italian,47
italy,34
if,2198
important,369
importance,108
impossible,84
impact,67
improve,39
improved,55
improvement,40
improvements,20
impressive,49
impression,45
impressions,25
impressed,30
implications,22
impulse,20
immediate,81
immediately,123
image,119
images,37
imagination,65
imagine,61
imagined,27
imitation,23
i'm,269
i'll,181
i've,125
i'd,104
idea,195
ideas,143
ideal,61
identity,55
identified,46
identification,43
identify,26
identical,31
ideological,21
ice,45
iron,43
irish,28
i.e.,43
ill,26
illinois,40
illustrated,37
illustration,23
illusion,37
illness,20
ignored,29
was,9815
wash,33
washing,44
washington,206
washed,35
wasn't,154
waste,35
way,908
ways,128
war,464
wars,26
warsaw,100
warm,67
warmth,28
warren,51
warrant,20
warning,44
warned,22
warfare,43
ward,25
warwick,21
water,445
waters,42
watch,81
watched,81
watching,76
watson,45
want,328
wanted,226
wants,72
wall,160
walls,70
wally,25
walk,100
walked,159
walking,54
walter,40
wait,94
waiting,110
waited,70
wage,56
wages,42
wagon,55
wagner,21
wave,46
waves,51
wake,23
wit,20
with,7289
without,583
within,359
witness,28
witnesses,21
will,2245
william,148
williams,32
willing,69
wilson,62
wild,56
wildly,25
wife,228
wide,125
widely,52
widespread,30
widow,26
win,55
wind,63
window,119
windows,53
winds,21
winter,83
wine,72
wines,24
winston,40
winning,31
wings,27
wish,110
wished,55
wishes,24
wisdom,44
wise,36
wire,42
wives,21
which,3561
while,680
white,365
whisky,23
whispered,23
what,3200
whatever,112
what's,53
when,2800
whenever,43
where,937
whereas,41
wherever,27
whether,286
wheel,56
wheels,21
who,2252
whole,309
wholly,24
whose,251
whom,146
why,404
word,3500
words,860
world,788
world's,35
work,762
working,151
works,130
workshop,24
worked,128
worker,30
workers,86
worth,94
worthy,28
wore,65
worry,55
worried,35
worries,20
worse,50
worship,36
worst,34
worn,23
would,2714
wouldn't,129
wound,28
wounded,23
woman,224
woman's,22
women,195
women's,27
won,68
won't,105
wonder,67
wondered,58
wonderful,53
wondering,21
wood,55
wooden,50
woodruff,30
woods,25
we,2900
were,3284
weren't,22
well,897
welfare,53
welcome,50
went,507
week,275
weeks,141
weekend,27
weekly,24
west,235
western,137
westminster,23
weight,91
weather,69
weapon,42
weapons,61
wear,35
wearing,47
weak,32
weakness,46
wealth,22
we'll,64
we're,61
we've,34
we'd,32
wet,53
wednesday,35
wedding,32
write,620
writer,73
writers,73
writes,41
written,154
writing,117
wright,46
wrote,181
wrong,129
w.,84
h,23
he,9548
her,3036
here,750
herself,125
hero,52
heroic,21
herd,22
heritage,21
head,424
headquarters,65
headed,59
heads,43
heading,31
hear,153
heard,247
heart,173
hearts,23
hearing,76
hearst,48
heavy,110
heavily,60
heaven,43
health,105
healthy,33
heat,97
heating,24
help,311
helped,66
helping,44
helps,31
helpful,29
helpless,21
held,264
hell,95
hello,100
helva,26
he's,125
he'd,98
he'll,30
hen,21
henry,83
henrietta,41
hence,58
height,35
heights,23
heels,23
hesitated,21
his,6996
history,286
historic,23
historical,71
historian,30
historians,20
him,2619
himself,603
high,497
higher,160
highest,63
highly,94
highway,40
hit,114
hits,22
hiiii,100
hill,72
hills,50
hired,25
hide,22
hidden,20
had,5133
hadn't,99
have,4600
haven't,38
having,279
has,2437
hasn't,20
hand,431
hands,289
handsome,40
handle,53
handled,26
handling,38
handed,38
hanover,66
hans,44
hang,26
hanging,28
hal,28
half,275
hall,152
hard,202
hardly,106
hardy,42
harder,23
harbor,37
harry,35
harris,28
harvard,34
harm,25
harmony,33
harold,32
happen,63
happened,149
happens,40
happening,28
happy,98
happiness,23
happily,20
hair,148
hat,56
hate,42
hated,28
hatred,20
habit,23
habits,21
how,2050
however,552
howard,32
house,591
houses,83
household,32
housing,59
houston,25
hour,145
hours,174
home,547
homes,62
hope,177
hopes,49
hoped,48
hoping,30
hold,169
holding,65
holds,42
holder,27
hole,58
holes,39
holy,49
holmes,37
hollywood,23
hot,130
hotel,126
hotels,20
horse,117
horses,68
horn,31
horizon,27
hospital,110
hospitals,20
host,36
honor,66
honored,24
honest,47
honey,25
hoag,21
human,299
humanity,28
humor,47
hundred,171
hundreds,44
hung,65
hungry,23
hunting,34
husband,131
huge,55
hughes,27
hudson,53
hurt,37
hurry,36
hurried,23
h.,71
hydrogen,39
hypothalamic,22
f,36
for,9489
form,370
former,131
formerly,28
formed,76
forms,127
formula,59
formulas,22
formal,48
formation,37
forming,21
force,230
forces,175
forced,81
foreign,158
forest,66
forests,22
forever,39
forward,115
fort,55
forth,71
forty,36
fortune,25
fortunate,22
fortunately,20
forget,54
forgotten,38
forgive,24
ford,24
found,536
foundation,38
founded,20
four,360
fourth,74
fourteen,31
fought,46
follow,97
following,221
followed,172
follows,77
folk,34
folklore,28
food,147
foods,51
foot,70
football,36
fool,37
focus,40
foam,37
foams,22
fog,25
fogg,23
foil,20
from,4400
front,221
frontier,30
frozen,27
free,259
freedom,128
freely,22
french,139
frequent,34
frequently,91
frequencies,31
frequency,22
fresh,82
freight,28
fred,27
friend,133
friends,162
friendship,27
friendly,61
friday,60
frightened,26
france,75
francis,21
francisco,41
frank,68
franklin,30
frame,74
frames,26
fraction,23
fractions,20
fruit,35
first,1361
fire,187
fired,44
firm,109
firms,55
firmly,49
firing,24
find,400
finds,59
finding,53
findings,34
final,156
finally,191
financial,86
financing,34
finance,31
fine,161
finish,39
finished,87
finger,40
fingers,66
five,286
field,274
fields,72
figure,209
figures,113
figured,20
fight,98
fighting,72
fig.,71
fiscal,120
fish,35
fishing,32
fist,25
fill,50
filled,99
filling,36
film,96
films,31
file,81
filed,33
fixed,87
fit,75
fitted,20
fifty,68
fifteen,56
fifth,38
fiction,46
fiber,27
fibers,23
few,601
fewer,33
felt,357
fell,92
fellow,63
fellowship,36
felix,30
feet,283
feel,216
feeling,172
feelings,61
feels,45
feed,122
feeding,26
fees,29
fed,41
federal,246
fear,127
fears,47
feature,37
features,80
female,50
february,45
feb.,20
fence,30
festival,27
fact,447
factor,71
factors,106
factory,32
factories,24
facts,87
face,371
faces,72
faced,54
facilities,100
facing,34
faculty,74
far,426
farm,124
farmer,23
farmers,33
farther,32
family,331
familiar,72
families,68
famous,89
fat,60
father,183
father's,38
fate,33
fall,147
fallen,34
falling,33
falls,32
fallout,31
false,29
faith,111
fail,37
failure,89
failed,74
fair,78
fairly,58
faint,25
favor,78
favorite,41
favorable,33
fast,78
fashion,69
fascinating,20
fabrics,29
fault,22
faulkner,21
fans,21
fantastic,20
full,230
fully,80
full-time,24
future,227
further,218
furthermore,39
furniture,39
furnish,29
furnished,23
fun,44
function,113
functions,48
functional,24
fund,62
funds,95
fundamental,50
funny,41
funeral,33
floor,158
flow,68
flower,23
flowers,57
florida,20
flat,67
flash,21
flesh,52
fled,28
flew,27
flexible,25
flight,46
fly,33
flying,43
flux,30
fluid,21
f.,59
``,8837
',317
'',8789
'em,41
you,7600
your,2700
yours,25
yourself,67
young,385
younger,44
you're,151
you'll,90
you've,67
you'd,36
youth,82
york,302
year,658
years,950
year's,43
yeah,25
yet,419
yes,144
yesterday,83
yellow,55
yelled,22
yard,35
yards,64
yankees,28
yield,35
b,105
be,6377
been,2472
beer,35
beef,31
before,1016
because,883
became,246
become,359
becomes,104
becoming,57
bet,20
between,730
better,414
being,712
beings,36
best,351
beside,78
besides,66
began,312
begin,84
beginning,164
begins,55
begun,51
behind,258
behavior,96
behalf,21
believe,200
believed,77
believes,43
belief,64
beliefs,23
below,145
belong,37
belongs,22
belt,29
belly,23
belgians,21
beyond,175
beautiful,127
beauty,71
beat,68
beach,61
bear,57
beard,26
bears,26
bearing,25
beam,21
bed,127
bedroom,52
berlin,74
ben,21
benefit,63
benefits,33
beneath,57
bench,35
bent,34
bend,24
by,5306
but,4381
butter,27
bus,34
business,393
busy,58
build,86
building,160
buildings,76
builder,29
builders,27
built,103
buy,70
buying,30
budget,59
burning,49
burned,40
burns,23
burden,44
bureau,43
burst,33
bullet,28
bullets,21
buck,20
bundle,20
back,966
background,67
backed,24
backward,22
basis,184
basic,171
basically,20
base,91
based,119
baseball,57
basement,31
bases,23
bad,142
badly,34
ball,110
ballet,45
balance,90
balanced,22
baltimore,22
battle,87
bath,26
bank,83
banks,37
band,53
bang-jensen,25
bar,82
bars,40
bare,29
barely,31
barn,29
barton,25
barrel,24
baby,62
bay,57
bag,42
baker,36
both,730
bother,22
bottom,88
bottle,76
body,276
bodies,64
boy,242
boys,143
board,239
boards,47
boat,72
boats,51
boating,23
book,197
books,96
boots,20
born,113
bore,24
border,20
box,70
boston,61
boss,20
bought,56
bound,42
bond,46
bonds,47
bone,33
bones,20
bob,40
bobby,23
bobbie,22
bomb,36
bombs,35
bombers,22
bowl,23
bold,21
big,360
bigger,34
biggest,24
bill,143
billion,62
bills,47
billy,26
bit,101
bitter,53
birth,66
bird,31
birds,57
bible,59
binomial,36
binding,20
bid,22
biological,20
brought,253
brown,176
brown's,23
broad,84
broadway,24
brother,73
brothers,41
broke,72
broken,63
bronchial,29
brooklyn,29
bring,158
brings,40
bringing,38
british,118
britain,55
bridge,98
bridges,26
bridget,21
bride,33
bright,87
brief,73
briefly,38
brilliant,50
break,88
breakfast,53
breaking,25
breath,53
breathing,21
bread,41
brain,45
branch,33
branches,33
brannon,29
brave,24
brush,44
brushed,20
black,203
blame,34
blanket,30
blanche,25
blue,143
blues,22
blood,121
block,66
blocks,37
blow,33
blonde,20
blind,47
b.,76
b.c.,20
b'dikkat,21
;,5566
?,4693
n,38
no,2139
not,4610
nothing,411
note,127
noted,90
notes,57
notice,59
noticed,50
notion,40
notte,20
notable,20
now,1314
nowhere,30
nor,195
north,206
northern,47
northwest,25
normal,136
normally,36
norms,24
none,108
november,74
novel,59
novels,22
nov.,21
nobody,74
noble,23
no.,63
nose,60
nodded,51
noise,37
noon,25
new,1635
news,102
newspaper,65
newspapers,38
newly,28
newport,27
newer,20
never,697
nevertheless,73
next,394
need,360
needed,187
needs,152
necessary,222
necessarily,51
necessity,40
neck,81
near,198
nearly,141
nearby,45
nearest,24
neat,21
neither,141
neighborhood,58
neighbors,40
neighboring,24
negro,107
negroes,59
negative,53
negotiations,20
neutral,39
net,34
network,30
nervous,24
nerves,22
nest,20
number,472
numbers,125
numerous,47
nuclear,115
nuts,21
night,411
nights,33
nine,81
nineteenth,42
ninth,20
nice,76
nick,25
nixon,25
nation,139
national,375
nationalism,35
nations,175
nation's,37
native,46
nature,191
natural,156
naturally,70
nato,25
name,294
names,89
named,84
namely,33
narrow,63
narrative,24
navy,37
naval,33
naked,32
n.,28
-,78
--,3432
s,22
she,2860
shelter,70
shelters,25
shell,22
she'd,68
she's,48
sheet,45
sheets,30
sheep,23
shear,40
sherman,29
sheriff,20
should,888
shoulder,61
shoulders,51
shouldn't,22
shouted,40
shouting,32
show,288
shown,166
showed,141
shows,94
showing,61
short,212
shortly,34
shorts,29
shore,61
shot,113
shots,29
shop,63
shopping,27
shook,57
shoot,27
shooting,48
shoes,44
shock,31
shall,268
share,98
shares,46
shared,40
sharp,72
sharply,38
sharpe,30
sharing,23
shape,85
shapes,29
shadow,36
shadows,20
shade,28
shakespeare,30
shaking,21
shayne,27
shame,21
ship,83
ships,43
shift,41
shirt,27
shining,21
shu,21
shut,46
said,2500
sailing,20
sam,79
same,686
sample,57
samples,29
sampling,22
samuel,34
say,504
says,200
saying,113
saw,352
sat,150
saturday,67
satisfactory,39
satisfaction,28
satisfied,36
sale,44
sales,133
salt,46
salary,43
salvation,32
saline,31
sarvesh,100
sarah,26
san,70
sang,29
santa,28
sand,28
sandburg,22
save,62
saved,43
saving,21
savings,23
savage,22
safe,58
safety,47
sake,41
sacred,38
sacrifice,30
sad,35
saddle,25
sauce,20
so,1985
some,1618
something,450
sometimes,221
somewhat,127
somewhere,60
someone,94
somehow,72
somebody,58
social,380
socialist,21
socialism,20
society,237
societies,41
south,240
southern,137
southerners,26
southeast,28
sound,204
sounds,55
sounded,35
source,94
sources,88
sought,55
soul,47
souls,22
soon,199
son,165
song,70
songs,59
sons,29
sort,164
sorry,48
soviet,129
sovereign,30
sovereignty,28
solid,77
solution,59
solutions,29
sold,47
soldier,39
soldiers,56
solely,20
solve,20
soft,61
softly,31
soil,54
so-called,32
sophisticated,26
soap,22
such,1303
success,93
successful,95
successfully,31
succession,25
successes,22
succeeded,33
sure,263
surely,47
surface,200
surfaces,28
surprise,51
surprised,58
surprising,30
surplus,27
survey,37
survive,33
survival,32
surrounding,27
surrounded,21
surrender,22
support,180
supported,54
supporting,27
suppose,97
supposed,65
supply,102
supplies,47
supplied,36
supplement,20
supper,37
supreme,51
superior,46
subject,161
subjects,81
subjected,24
substantial,66
substantially,36
substance,33
substances,23
substrate,23
substitute,22
subsequent,29
suburban,29
submarine,26
submarines,20
submitted,21
subtle,25
sudden,38
suddenly,153
sum,45
summer,134
summary,21
sun,112
sunday,101
suggest,54
suggested,105
suggestion,34
suggestions,23
suggests,29
sugar,34
sufficient,63
sufficiently,42
suffer,33
suffering,44
suffered,42
suit,48
suitable,34
suite,27
suited,22
suits,25
susan,37
suspect,30
suspected,21
suspended,30
suspicion,27
state,807
states,603
statement,141
statements,68
stated,85
state's,38
station,105
stations,85
statistics,22
status,97
star,25
start,154
started,194
starting,68
starts,31
startled,21
stared,60
stars,29
staring,26
stage,175
stages,51
stand,148
standard,110
standards,74
standing,101
stands,68
stanley,35
staff,113
stay,113
stayed,75
stairs,47
staining,37
stained,28
stable,30
stadium,25
stake,20
still,782
stick,39
sticks,22
stiff,21
study,246
studying,40
student,131
students,213
studies,103
studied,79
studio,31
stuff,32
stupid,24
stuck,23
stumbled,21
street,244
streets,60
strength,137
stress,107
stressed,23
stream,51
stretch,26
stretched,34
strong,202
strongly,37
stronger,37
strongest,20
straight,114
strain,31
strange,84
stranger,40
strategic,23
strategy,22
structure,91
structures,31
structural,25
struck,59
struggle,62
struggling,20
strike,50
strikes,20
striking,39
strictly,33
strip,30
stood,212
story,153
store,74
stored,36
stores,35
stories,59
storage,41
storm,26
stock,147
stockholders,26
stop,120
stopped,129
stone,58
stomach,37
st.,164
step,131
steps,119
stepped,40
steel,45
steele,21
steady,41
steadily,22
stem,30
stems,33
stern,23
style,98
styles,20
see,772
seem,229
seemed,333
seems,259
seen,279
seeing,86
seek,69
seeking,44
seed,41
seeds,42
sees,36
set,414
settle,23
settled,69
settlement,26
setting,60
sets,62
several,377
severe,39
seven,113
seventh,31
seventeen,24
second,373
secondary,31
seconds,27
secret,78
secretary,191
secrets,20
section,189
sections,70
security,91
secure,30
service,315
services,139
serving,38
serve,107
served,119
serves,37
servants,22
series,130
serious,116
seriously,46
sergeant,28
sense,311
sensitive,59
sensitivity,28
sent,145
sentence,34
sentiment,23
send,74
sending,34
senate,62
senator,40
senior,34
sen.,30
sea,95
season,105
search,66
searching,23
seat,54
seated,24
sex,84
sexual,59
session,80
sessions,26
separate,79
separated,43
september,56
sept.,34
select,23
selected,74
selection,39
sell,41
selling,31
self,39
seldom,34
sequence,35
sewage,29
seized,24
sin,53
since,628
sing,34
single,172
singing,47
sink,23
side,381
sides,100
sidewalk,21
six,220
sixth,26
sixties,22
sixty,21
sixteen,20
sit,67
situation,196
situations,51
sitting,96
sitter,24
site,64
simply,171
simple,160
similar,157
similarly,36
simultaneously,38
size,138
sir,95
sign,94
significant,86
significance,66
signs,68
signal,63
signals,29
signed,37
sight,83
sighed,22
silence,52
silent,49
silver,29
sick,51
sister,38
small,542
smaller,78
smart,21
smile,58
smiled,71
smiling,36
smith,54
smooth,42
smoke,41
smell,34
school,493
schools,195
scholars,27
scholarship,36
schedule,36
scheduled,38
scheme,33
science,131
sciences,35
scientific,86
scientists,36
scene,106
scenes,29
score,66
scotty,32
scope,27
scale,60
scattered,27
scarcely,24
scared,21
screen,48
screw,21
system,416
systems,129
symbol,54
symbols,36
symbolic,35
sympathy,36
sympathetic,35
symphony,33
special,250
specific,115
specifically,38
specified,28
species,37
specimen,24
spectacular,22
speak,110
speaking,62
speaker,49
spent,104
spend,53
spending,41
spencer,23
speed,83
speech,61
speeches,21
space,184
spanish,36
spare,23
spirit,182
spiritual,64
spirits,44
spite,56
spring,127
springs,21
spread,83
spoke,87
spoken,37
spot,57
spots,32
sports,49
sponsor,22
sponsored,30
split,30
splendid,20
sphere,22
square,143
s.,117
slow,60
slowly,115
slight,53
slightly,83
slipped,32
slid,24
slide,20
slim,20
sleep,65
sleeping,39
slept,27
slave,30
slaves,44
slavery,33
sweet,69
swept,34
sweat,23
swung,48
switch,43
switches,26
swimming,37
swift,33
swing,24
snow,59
snake,44
snakes,26
sky,58
skywave,32
skin,47
skill,42
skills,37
skilled,30
skirt,21
sba,25
c,121
can,2600
cannot,258
can't,169
candidate,34
candidates,38
canada,34
cancer,25
came,622
camera,36
camp,75
campaign,81
campus,33
call,188
called,401
calls,70
calling,45
california,65
calm,35
calculated,35
calendar,28
case,362
cases,148
casey,23
cast,45
castro,32
cash,36
casual,22
car,274
care,162
careful,62
carefully,87
career,67
carried,125
carries,22
carry,88
carrying,71
cars,112
carl,41
carleton,29
card,26
cards,36
carbon,30
carolina,25
cause,130
caused,90
causes,58
caught,98
cat,23
cattle,97
catholic,84
catholics,33
cathy,20
catch,43
categories,24
category,23
cap,27
capital,85
capitol,22
captain,85
capacity,83
capable,66
capabilities,22
cape,20
cady,27
cavalry,26
cabin,23
cafe,20
could,1601
couldn't,175
course,465
courses,61
court,230
courts,50
courage,32
count,49
country,324
countries,151
county,155
counties,35
counter,31
council,103
couple,122
cousin,51
come,630
comes,137
comedy,39
company,290
company's,27
companies,87
compare,28
compared,71
comparison,48
comparable,41
complete,182
completely,110
completed,69
completion,57
complex,91
complement,21
complicated,30
complained,22
competition,63
competitive,31
compete,23
competent,21
component,25
components,55
composed,40
composer,31
composition,25
computed,21
compromise,20
community,231
communities,41
communist,97
communists,39
communism,70
communication,67
communications,28
common,223
commonly,29
commodities,21
committee,168
committed,28
commission,103
command,72
commander,28
commercial,61
commerce,58
comment,42
comments,30
coming,174
combination,57
combined,40
combat,27
comfort,43
comfortable,37
college,267
colleges,39
collection,84
collective,32
collected,44
colleagues,23
cold,171
color,140
colors,52
colored,31
colorful,21
colonel,37
colony,28
colonial,21
column,71
columns,36
cost,229
costs,176
control,223
controlled,39
controlling,23
controls,30
controversy,26
contrast,74
contract,60
contracts,24
contrary,52
contribute,44
contributed,39
contribution,37
contributions,29
continue,107
continued,133
continues,41
continuing,61
continuity,25
continuous,44
continuously,23
continually,25
contemporary,64
content,53
context,35
contest,26
contact,63
contacts,25
contain,45
contained,60
